,text,created,re,fav,followC,sn,pic,polarity,subjectivity,analyzer,textClean
0,@ultems we don’t play favorites. we leave that game to parents.,21,93,566,1616869,0,0,-0.4,0.4,0.6124,"['ultem', 'dont', 'play', 'favorit', 'leav', 'gam', 'par']"
1,RT @becbecbobec: I’ve never felt more relevant. @BurgerKing 💁🏼‍♀️ https://t.co/AcLqMxc1vl,17,38,0,1616869,0,1,0.45,0.7,0.0,"['rt', 'becbecbobec', 'iv', 'nev', 'felt', 'relev', 'burgerk', 'httpstcoaclqmxcvl']"
2,@believegreta @becbecbobec @NayaRivera GUILTY AS CHARGED,17,5,22,1616869,0,0,-0.5,1.0,-0.7241,"['believegret', 'becbecbobec', 'nayariver', 'guil', 'charg']"
3,@BubsEyes there’s always tomorrow,15,1,3,1616869,0,0,0.0,0.0,0.0,"['bubsey', 'ther', 'alway', 'tomorrow']"
4,@guccibyv @BTS_twt just sharing our love,20,15,57,1616869,0,0,0.5,0.6,0.7906,"['guccibyv', 'btstwt', 'shar', 'lov']"
5,wonder why burgers taste sorta like euphoria 🤩🤩🤩,18,19505,38741,1616869,0,0,0.0,0.0,0.7374,"['wond', 'burg', 'tast', 'sort', 'lik', 'euphor']"
6,@PrimeStonesy Burger KingBurger KingBurger KingBurger KingBurger Kingobvi,17,1,22,1616869,0,0,0.0,0.0,0.0,"['primestonesy', 'burg', 'kingburg', 'kingburg', 'kingburg', 'kingburg', 'kingobv']"
7,@Cryptic_Zombie welcome to a whole new world,13,0,2,1616869,0,0,0.37878787878787873,0.5848484848484848,0.4588,"['crypticzomby', 'welcom', 'whol', 'new', 'world']"
8,RT @NayaRivera: Highlight of the day. @BurgerKing followed me,22,220,0,1616869,0,0,0.0,0.0,0.34,"['rt', 'nayariver', 'highlight', 'day', 'burgerk', 'follow']"
9,@NayaRivera highlight of the day: Naya tweeting at us 😍,22,26,188,1616869,0,0,0.0,0.0,0.34,"['nayariver', 'highlight', 'day', 'nay', 'tweet', 'us']"
10,@brantdaugherty just wait till you hear our toast at the wedding 😏,22,0,10,1616869,0,0,0.0,0.0,0.0,"['brantdaugherty', 'wait', 'til', 'hear', 'toast', 'wed']"
11,RT @brantdaugherty: I choose to believe this is true https://t.co/2oHkgVE5PY,18,19,0,1616869,0,0,0.35,0.65,0.4215,"['rt', 'brantdaugherty', 'choos', 'believ', 'tru', 'httpstcoohkgvepy']"
12,RT @brantdaugherty: @druidDUDE So jealous. I love that damn Hershey’s pie.,18,7,0,1616869,0,0,0.5,0.6,-0.1317,"['rt', 'brantdaugherty', 'druiddud', 'jeal', 'lov', 'damn', 'hershey', 'pie']"
13,@kimhidalgo @brantdaugherty he’s a beautiful man but he’s your beautiful man Kim. no beef just #blessings - wish… https://t.co/G0dFqsrZKj,15,4,46,1616869,0,0,0.85,1.0,0.7184,"['kimhidalgo', 'brantdaugherty', 'hes', 'beauty', 'man', 'hes', 'beauty', 'man', 'kim', 'beef', 'bless', 'wish', 'httpstcogdfqsrzkj']"
14,@Diyus2 ✅ can’t wait to see the photo evidence,2,0,29,1616869,0,0,0.0,0.0,0.0,"['diy', 'cant', 'wait', 'see', 'photo', 'evid']"
15,@brantdaugherty @druidDUDE if pie could love we’re sure it would love you back Brant,2,5,61,1616869,0,0,0.375,0.5222222222222223,0.8934,"['brantdaugherty', 'druiddud', 'pie', 'could', 'lov', 'sur', 'would', 'lov', 'back', 'brant']"
16,RT @druidDUDE: OFFER ACCEPTED. any menu item but mostly and not limited to the hershey's sundae pie. https://t.co/HnmPPmVuIu,2,46,0,1616869,0,0,0.26785714285714285,0.3214285714285714,0.4433,"['rt', 'druiddud', 'off', 'acceiv', 'menu', 'item', 'most', 'limit', 'hershey', 'sunda', 'pie', 'httpstcohnmppmvuiu']"
17,@druidDUDE are we sorry we did it? no.are we sorry to have hurt you? yes.ps let us know if you wanna be the spok… https://t.co/36UFGfS8n6,2,10,195,1616869,0,0,-0.5,1.0,-0.594,"['druiddud', 'sorry', 'noar', 'sorry', 'hurt', 'yesp', 'let', 'us', 'know', 'wan', 'na', 'spok', 'httpstcoufgfsn']"
18,@boxedlox THAT’S your worst quality…?,18,0,1,1616869,0,0,-1.0,1.0,-0.6249,"['boxedlox', 'that', 'worst', 'qual']"
19,@publius420 @callakessler there’s nothing that nuggets can’t fix,16,0,3,1616869,0,0,0.0,0.0,0.0,"['publi', 'callakessl', 'ther', 'noth', 'nugget', 'cant', 'fix']"
20,@MullenLoweGroup @AParker63 @JaysonARipp @mullenloweus but aren't buns bread?,15,1,4,1616869,0,0,0.0,0.0,0.0,"['mullenlowegroup', 'apark', 'jaysonarip', 'mullenlowe', 'ar', 'bun', 'bread']"
21,@jasonnash @trishapaytas @DavidDobrik @NickAntonyan a drive thru double dip deserves proper recognition #OneMoreRound,15,4,135,1616869,0,0,0.0,0.05,0.0,"['jasonnash', 'trishapayta', 'daviddobrik', 'nickantony', 'driv', 'thru', 'doubl', 'dip', 'deserv', 'prop', 'recognit', 'onemoreround']"
22,@MullenLoweGroup @AParker63 @JaysonARipp @mullenloweus care to weigh in?,15,1,1,1616869,0,0,0.0,0.0,0.4939,"['mullenlowegroup', 'apark', 'jaysonarip', 'mullenlowe', 'car', 'weigh']"
23,@ZeiglerZach gotcha,15,5,24,1616869,0,0,0.0,0.0,0.0,"['zeiglerzach', 'gotch']"
24,@adweak writing samples please.,14,0,4,1616869,0,0,0.0,0.0,0.3182,"['adweak', 'writ', 'sampl', 'pleas']"
25,@doomdoomzz tuesday,14,0,3,1616869,0,0,0.0,0.0,0.0,"['doomdoomzz', 'tuesday']"
26,@Odditiezzz @trishapaytas @DavidDobrik @jasonnash @NickAntonyan thanks for the intro. sup @NickAntonyan?,22,1,112,1616869,0,0,0.2,0.2,0.4404,"['odditiezzz', 'trishapayta', 'daviddobrik', 'jasonnash', 'nickantony', 'thank', 'intro', 'sup', 'nickantony']"
27,@trishapaytas @DavidDobrik @jasonnash @NickAntonyan the guy in back declaring his longtime love for BK (0:04) is our new spirit animal,18,18,751,1616869,0,0,0.21212121212121213,0.3515151515151515,0.7096,"['trishapayta', 'daviddobrik', 'jasonnash', 'nickantony', 'guy', 'back', 'decl', 'longtim', 'lov', 'bk', 'new', 'spirit', 'anim']"
28,@DCeu_Fan @nieblatoxica @ixconner this might help: https://t.co/wWbuB74cek,18,0,2,1616869,0,0,0.0,0.0,0.4019,"['dceuf', 'nieblatoxic', 'ixcon', 'might', 'help', 'httpstcowwbubcek']"
29,jk lol https://t.co/8GuNt3DD8h,19,213,778,1616869,0,1,0.8,0.7,0.5719,"['jk', 'lol', 'httpstcoguntddh']"
30,@AuntieAnnes @marimar_toledo not opposed,18,2,8,1616869,0,0,0.0,0.0,0.0,"['auntiean', 'marimartoledo', 'oppos']"
31,@_MidnightPurple ... chocolate,19,7,447,1616869,0,0,0.0,0.0,0.0,"['midnightpurpl', 'chocol']"
32,@ozzylawd bc that’s a helicopter,19,149,2215,1616869,0,0,0.0,0.0,0.0,"['ozzylawd', 'bc', 'that', 'helicopt']"
33,"@Crooked_Crafter don't jokes begin with ""knock knock""?",19,58,903,1616869,0,0,0.0,0.0,-0.1877,"['crookedcraft', 'dont', 'jok', 'begin', 'knock', 'knock']"
34,@ModReds @MarkTapper @mills0686 @NicollJoshua RIP,19,1,11,1616869,0,0,0.0,0.0,0.0,"['modr', 'marktap', 'mil', 'nicolljoshu', 'rip']"
35,@lilcabmoney212 love that guy,18,17,612,1616869,0,0,0.5,0.6,0.6369,"['lilcabmoney', 'lov', 'guy']"
36,@ChrisPatrick64 yeah,18,9,264,1616869,0,0,0.0,0.0,0.296,"['chrispatrick', 'yeah']"
37,@JColesby we’re riding a sugar high,18,1,3,1616869,0,0,0.16,0.5399999999999999,0.0,"['jcolesby', 'rid', 'sug', 'high']"
38,@NirvanaMonk116 all chocolate melts...,18,1,33,1616869,0,0,0.0,0.0,0.0,"['nirvanamonk', 'chocol', 'melt']"
39,@PepeTheSlayer all you need to do to have a beach body is have a body and go to the beach.,18,1018,3113,1616869,0,0,0.0,0.0,0.0,"['pepetheslay', 'nee', 'beach', 'body', 'body', 'go', 'beach']"
40,@NadaSpecial_ thanks for letting us know,18,9,381,1616869,0,0,0.2,0.2,0.4404,"['nadaspec', 'thank', 'let', 'us', 'know']"
41,the NEW chocolate Whopper. coming soon to your local Burger King. maybe. https://t.co/9N1snyYhRX,18,2477,5948,1616869,0,1,0.06818181818181818,0.22727272727272727,0.0,"['new', 'chocol', 'whop', 'com', 'soon', 'loc', 'burg', 'king', 'mayb', 'httpstconsnyyhrx']"
42,@ynngtrece anytime fam,18,3,2,1616869,0,0,0.0,0.0,0.0,"['ynngtrec', 'anytim', 'fam']"
43,@Bflores777 @Gracemaylie2 @DUDEwipes wth,18,57,385,1616869,0,0,0.0,0.0,-0.5267,"['bflores', 'gracemay', 'dudewip', 'wth']"
44,@bowentibbetts @PardonMyTake @BarstoolBigCat @PFTCommenter @hen_ease well it’s definitely not a krabby patty,17,1,3,1616869,0,0,0.0,0.5,0.5859,"['bowentibbet', 'pardonmytak', 'barstoolbigc', 'pftcommenter', 'heneas', 'wel', 'definit', 'krabby', 'patty']"
45,@atoj247 @stoolpresidente @barstoolsports why don't you sleep on it decide in the morning,17,1,1,1616869,0,0,0.0,0.0,0.0,"['atod', 'stoolpresid', 'barstoolsport', 'dont', 'sleep', 'decid', 'morn']"
46,@atoj247 @stoolpresidente @barstoolsports you don’t sound 100% sure about that,17,1,1,1616869,0,0,0.45,0.6444444444444444,0.3182,"['atod', 'stoolpresid', 'barstoolsport', 'dont', 'sound', 'sur']"
47,@pdt7796 that sounds like the name of a town,11,1,47,1616869,0,0,0.0,0.0,0.3612,"['pdt', 'sound', 'lik', 'nam', 'town']"
48,@ohmichele24 so do people though,0,9,209,1616869,0,0,0.0,0.0,0.0,"['ohmichel', 'peopl', 'though']"
49,"@AlecBelmore @nfbrennan what are ""facts"" anyway",0,3,2,1616869,0,0,0.0,0.0,0.0,"['alecbelm', 'nfbrennan', 'fact', 'anyway']"
50,@nfbrennan @AlecBelmore both of you and neither of you,0,4,65,1616869,0,0,0.0,0.0,0.0,"['nfbrennan', 'alecbelm', 'neith']"
51,@cassiebamf @audreytrujillo_ ooooo,23,3,3,1616869,0,0,0.0,0.0,0.0,"['cassiebamf', 'audreytrujillo', 'ooooo']"
52,@nuclearRevan @oxiwun so roast beef is a burger?,20,3,4,1616869,0,0,0.0,0.0,0.0,"['nuclearrev', 'oxiwun', 'roast', 'beef', 'burg']"
53,@dromezzzz possibly. but we've heard convincing arguments for #TeamSandwich today as well... confusing af,20,2,2,1616869,0,0,0.06666666666666667,0.7999999999999999,-0.3291,"['dromezzzz', 'poss', 'wev', 'heard', 'convint', 'argu', 'teamsandwich', 'today', 'wel', 'confus', 'af']"
54,@dromezzzz what makes your opinion most valid?,19,2,1,1616869,0,0,0.5,0.5,0.0,"['dromezzzz', 'mak', 'opin', 'valid']"
55,@_michigan_girl_ @KYLightning but aren't buns bread?,19,2,2,1616869,0,0,0.0,0.0,0.0,"['michigangirl', 'kylightn', 'ar', 'bun', 'bread']"
56,@KYLightning @_michigan_girl_ same,19,2,2,1616869,0,0,0.0,0.125,0.0,"['kylightn', 'michigangirl']"
57,@KYLightning @_michigan_girl_ sometimes,19,2,2,1616869,0,0,0.0,0.0,0.0,"['kylightn', 'michigangirl', 'sometim']"
58,@_michigan_girl_ @KYLightning confidence nice.,19,2,2,1616869,0,0,0.6,1.0,0.7269,"['michigangirl', 'kylightn', 'confid', 'nic']"
59,@foururockey you can buy one,19,6,125,1616869,0,0,0.0,0.0,0.0,"['foururockey', 'buy', 'on']"
60,@Edlose1 gladly,18,2,2,1616869,0,0,0.5,1.0,0.34,"['edlos', 'glad']"
61,@bam_itschelsey for sure,18,2,1,1616869,0,0,0.5,0.8888888888888888,0.3182,"['bamitschelsey', 'sur']"
62,@MTFIII would you bet your life on it?,18,2,2,1616869,0,0,0.0,0.0,0.0,"['mtfiii', 'would', 'bet', 'lif']"
63,@DUDEwipes that's the circle of life.,18,8,217,1616869,0,0,0.0,0.0,0.0,"['dudewip', 'that', 'circ', 'lif']"
64,@11ShawnRyan11 @CheshyrP wet blanket.,18,4,20,1616869,0,0,-0.1,0.4,0.0,"['shawnry', 'cheshyrp', 'wet', 'blanket']"
65,@CrescentMoon50 wasn’t one of the options but we’ll take it,18,5,175,1616869,0,0,0.0,0.0,0.0,"['crescentmoon', 'wasnt', 'on', 'opt', 'wel', 'tak']"
66,@ShawnSTOM777 we have sandwiches on the menu tho so..,18,2,1,1616869,0,0,0.0,0.0,0.0,"['shawnstom', 'sandwich', 'menu', 'tho']"
67,@chaoswolf1982 were you on the debate team or something,17,2,3,1616869,0,0,0.0,0.0,0.0,"['chaoswolf', 'deb', 'team', 'someth']"
68,@DSzymborski @TuftsB IF YOU SAY SO,17,3,39,1616869,0,0,0.0,0.0,0.0,"['dszymborski', 'tuftsb', 'say']"
69,@Professorbroman even life is a sandwich between birth and death,17,2,17,1616869,0,0,0.0,0.0,-0.5994,"['professorbrom', 'ev', 'lif', 'sandwich', 'bir', 'dea']"
