,Unnamed: 0,Unnamed: 0.1,text,created,re,fav,followC,sn,pic,polarity,subjectivity,analyzer,atCompany,date,inReply,textClean,week,year,ats,pounds,links,sent,Burger King
0,14,14,they searched for the booty until they found our buns. #FakePirateFacts,21,157,725,1618300,BurgerKing,0,0.0,0.0,0.0,0.0,2018-04-08 21:12:34,0.0,"['search', 'booty', 'found', 'bun', 'fakepiratefact']",14.0,2018.0,0,1,0,-0.11292045589925714,78
1,15,15,@RedEduban we’ll be sure to alert the staff,21,5,23,1618300,BurgerKing,0,0.5,0.8888888888888888,0.5423,0.0,2018-04-08 21:00:20,1.0,"['rededub', 'wel', 'sur', 'alert', 'staff']",14.0,2018.0,1,0,0,-0.07994599186873144,78
2,16,16,@ultems we don’t play favorites. we leave that game to parents.,21,120,721,1618300,BurgerKing,0,-0.4,0.4,0.6124,0.0,2018-04-06 21:54:01,1.0,"['ultem', 'dont', 'play', 'favorit', 'leav', 'gam', 'par']",14.0,2018.0,1,0,0,-0.058749513624758824,78
3,17,17,@believegreta @becbecbobec @NayaRivera GUILTY AS CHARGED,17,5,22,1618300,BurgerKing,0,-0.5,1.0,-0.7241,0.0,2018-04-06 17:14:09,1.0,"['believegret', 'becbecbobec', 'nayariver', 'guil', 'charg']",14.0,2018.0,1,0,0,-0.09781049889538374,78
4,18,18,@BubsEyes there’s always tomorrow,15,1,3,1618300,BurgerKing,0,0.0,0.0,0.0,0.0,2018-04-06 15:43:38,1.0,"['bubsey', 'ther', 'alway', 'tomorrow']",14.0,2018.0,1,0,0,0.21407508213001075,78
5,19,19,@guccibyv @BTS_twt just sharing our love,20,15,57,1618300,BurgerKing,0,0.5,0.6,0.7906,0.0,2018-04-05 20:27:43,1.0,"['guccibyv', 'btstwt', 'shar', 'lov']",14.0,2018.0,1,0,0,-0.09563272611615206,78
6,20,20,wonder why burgers taste sorta like euphoria 🤩🤩🤩,18,19864,39483,1618300,BurgerKing,0,0.0,0.0,0.7374,0.0,2018-04-05 18:15:26,0.0,"['wond', 'burg', 'tast', 'sort', 'lik', 'euphor']",14.0,2018.0,0,0,0,-0.09050979700041943,78
7,21,21,@PrimeStonesy Burger KingBurger KingBurger KingBurger KingBurger Kingobvi,17,1,22,1618300,BurgerKing,0,0.0,0.0,0.0,0.0,2018-04-05 17:53:20,1.0,"['primestonesy', 'burg', 'kingburg', 'kingburg', 'kingburg', 'kingburg', 'kingobv']",14.0,2018.0,1,0,0,-0.07260675033881807,78
8,22,22,@Cryptic_Zombie welcome to a whole new world,13,0,2,1618300,BurgerKing,0,0.3787878787878787,0.5848484848484848,0.4588,0.0,2018-04-05 13:12:02,1.0,"['crypticzomby', 'welcom', 'whol', 'new', 'world']",14.0,2018.0,1,0,0,-0.0970890965854138,78
9,23,23,@NayaRivera highlight of the day: Naya tweeting at us 😍,22,26,188,1618300,BurgerKing,0,0.0,0.0,0.34,0.0,2018-04-04 22:11:29,1.0,"['nayariver', 'highlight', 'day', 'nay', 'tweet', 'us']",14.0,2018.0,1,0,0,-0.09453320495448653,78
10,24,24,@brantdaugherty just wait till you hear our toast at the wedding 😏,22,0,10,1618300,BurgerKing,0,0.0,0.0,0.0,0.0,2018-04-04 22:09:34,1.0,"['brantdaugherty', 'wait', 'til', 'hear', 'toast', 'wed']",14.0,2018.0,1,0,0,-0.10342260248140987,78
11,25,25,@kimhidalgo @brantdaugherty he’s a beautiful man but he’s your beautiful man Kim. no beef just #blessings - wish… https://t.co/G0dFqsrZKj,15,4,47,1618300,BurgerKing,0,0.85,1.0,0.7184,0.0,2018-04-04 15:26:40,1.0,"['kimhidalgo', 'brantdaugherty', 'hes', 'beauty', 'man', 'hes', 'beauty', 'man', 'kim', 'beef', 'bless', 'wish', 'httpstcogdfqsrzkj']",14.0,2018.0,1,1,1,-0.005081884778218054,78
12,26,26,@Diyus2 ✅ can’t wait to see the photo evidence,2,0,30,1618300,BurgerKing,0,0.0,0.0,0.0,0.0,2018-04-04 02:38:55,1.0,"['diy', 'cant', 'wait', 'see', 'photo', 'evid']",14.0,2018.0,1,0,0,-0.07285099485014533,78
13,27,27,@brantdaugherty @druidDUDE if pie could love we’re sure it would love you back Brant,2,5,63,1618300,BurgerKing,0,0.375,0.5222222222222223,0.8934,0.0,2018-04-04 02:34:35,1.0,"['brantdaugherty', 'druiddud', 'pie', 'could', 'lov', 'sur', 'would', 'lov', 'back', 'brant']",14.0,2018.0,1,0,0,-0.10482865540614104,78
14,28,28,@druidDUDE are we sorry we did it? no.are we sorry to have hurt you? yes.ps let us know if you wanna be the spok… https://t.co/36UFGfS8n6,2,11,198,1618300,BurgerKing,0,-0.5,1.0,-0.594,0.0,2018-04-04 02:00:28,1.0,"['druiddud', 'sorry', 'noar', 'sorry', 'hurt', 'yesp', 'let', 'us', 'know', 'wan', 'na', 'spok', 'httpstcoufgfsn']",14.0,2018.0,1,0,1,0.03952922279242889,78
15,29,29,@boxedlox THAT’S your worst quality…?,18,0,1,1618300,BurgerKing,0,-1.0,1.0,-0.6249,0.0,2018-04-03 18:03:50,1.0,"['boxedlox', 'that', 'worst', 'qual']",14.0,2018.0,1,0,0,-0.08575087076120967,78
16,30,30,@publius420 @callakessler there’s nothing that nuggets can’t fix,16,0,3,1618300,BurgerKing,0,0.0,0.0,0.0,0.0,2018-04-03 16:07:32,1.0,"['publi', 'callakessl', 'ther', 'noth', 'nugget', 'cant', 'fix']",14.0,2018.0,1,0,0,-0.08025957763141994,78
17,31,31,@MullenLoweGroup @AParker63 @JaysonARipp @mullenloweus but aren't buns bread?,15,1,4,1618300,BurgerKing,0,0.0,0.0,0.0,0.0,2018-04-03 15:32:40,1.0,"['mullenlowegroup', 'apark', 'jaysonarip', 'mullenlowe', 'ar', 'bun', 'bread']",14.0,2018.0,1,0,0,-0.11594626525926326,78
18,32,32,@jasonnash @trishapaytas @DavidDobrik @NickAntonyan a drive thru double dip deserves proper recognition #OneMoreRound,15,4,139,1618300,BurgerKing,0,0.0,0.05,0.0,0.0,2018-04-03 15:25:16,1.0,"['jasonnash', 'trishapayta', 'daviddobrik', 'nickantony', 'driv', 'thru', 'doubl', 'dip', 'deserv', 'prop', 'recognit', 'onemoreround']",14.0,2018.0,1,1,0,-0.13944092215345166,78
19,33,33,@MullenLoweGroup @AParker63 @JaysonARipp @mullenloweus care to weigh in?,15,1,1,1618300,BurgerKing,0,0.0,0.0,0.4939,0.0,2018-04-03 15:08:53,1.0,"['mullenlowegroup', 'apark', 'jaysonarip', 'mullenlowe', 'car', 'weigh']",14.0,2018.0,1,0,0,-0.09746699303446477,78
20,34,34,@ZeiglerZach gotcha,15,5,25,1618300,BurgerKing,0,0.0,0.0,0.0,0.0,2018-04-03 15:05:07,1.0,"['zeiglerzach', 'gotch']",14.0,2018.0,1,0,0,-0.10647094415947024,78
21,35,35,@adweak writing samples please.,14,0,4,1618300,BurgerKing,0,0.0,0.0,0.3182,0.0,2018-04-03 14:01:50,1.0,"['adweak', 'writ', 'sampl', 'pleas']",14.0,2018.0,1,0,0,-0.02230895052779176,78
22,36,36,@doomdoomzz tuesday,14,0,4,1618300,BurgerKing,0,0.0,0.0,0.0,0.0,2018-04-03 14:00:17,1.0,"['doomdoomzz', 'tuesday']",14.0,2018.0,1,0,0,-0.07048903128544114,78
23,37,37,@Odditiezzz @trishapaytas @DavidDobrik @jasonnash @NickAntonyan thanks for the intro. sup @NickAntonyan?,22,1,113,1618300,BurgerKing,0,0.2,0.2,0.4404,0.0,2018-04-02 22:05:08,1.0,"['odditiezzz', 'trishapayta', 'daviddobrik', 'jasonnash', 'nickantony', 'thank', 'intro', 'sup', 'nickantony']",14.0,2018.0,1,0,0,-0.165286404469073,78
24,38,38,@trishapaytas @DavidDobrik @jasonnash @NickAntonyan the guy in back declaring his longtime love for BK (0:04) is our new spirit animal,18,18,755,1618300,BurgerKing,0,0.21212121212121213,0.3515151515151515,0.7096,0.0,2018-04-02 18:42:20,1.0,"['trishapayta', 'daviddobrik', 'jasonnash', 'nickantony', 'guy', 'back', 'decl', 'longtim', 'lov', 'bk', 'new', 'spirit', 'anim']",14.0,2018.0,1,0,0,-0.1585947858648779,78
25,39,39,@DCeu_Fan @nieblatoxica @ixconner this might help: https://t.co/wWbuB74cek,18,0,2,1618300,BurgerKing,0,0.0,0.0,0.4019,0.0,2018-04-02 18:36:46,1.0,"['dceuf', 'nieblatoxic', 'ixcon', 'might', 'help', 'httpstcowwbubcek']",14.0,2018.0,1,0,1,0.08047475145539043,78
26,40,40,jk lol https://t.co/8GuNt3DD8h,19,221,822,1618300,BurgerKing,1,0.8,0.7,0.5719,0.0,2018-04-01 19:05:39,0.0,"['jk', 'lol', 'httpstcoguntddh']",13.0,2018.0,0,0,1,2.0830352975017727,85
27,41,41,@AuntieAnnes @marimar_toledo not opposed,18,2,8,1618300,BurgerKing,0,0.0,0.0,0.0,0.0,2018-03-31 18:10:56,1.0,"['auntiean', 'marimartoledo', 'oppos']",13.0,2018.0,1,0,0,-0.06703539137306368,85
28,42,42,@_MidnightPurple ... chocolate,19,7,446,1618300,BurgerKing,0,0.0,0.0,0.0,0.0,2018-03-30 19:53:41,1.0,"['midnightpurpl', 'chocol']",13.0,2018.0,1,0,0,-0.0010570756702817444,85
29,43,43,@ozzylawd bc that’s a helicopter,19,149,2235,1618300,BurgerKing,0,0.0,0.0,0.0,0.0,2018-03-30 19:36:06,1.0,"['ozzylawd', 'bc', 'that', 'helicopt']",13.0,2018.0,1,0,0,-0.09821283682173026,85
30,44,44,"@Crooked_Crafter don't jokes begin with ""knock knock""?",19,58,912,1618300,BurgerKing,0,0.0,0.0,-0.1877,0.0,2018-03-30 19:11:30,1.0,"['crookedcraft', 'dont', 'jok', 'begin', 'knock', 'knock']",13.0,2018.0,1,0,0,-0.06573159598791868,85
31,45,45,@ModReds @MarkTapper @mills0686 @NicollJoshua RIP,19,1,11,1618300,BurgerKing,0,0.0,0.0,0.0,0.0,2018-03-30 19:07:50,1.0,"['modr', 'marktap', 'mil', 'nicolljoshu', 'rip']",13.0,2018.0,1,0,0,-0.10146685082014874,85
32,46,46,@lilcabmoney212 love that guy,18,18,620,1618300,BurgerKing,0,0.5,0.6,0.6369,0.0,2018-03-30 18:58:16,1.0,"['lilcabmoney', 'lov', 'guy']",13.0,2018.0,1,0,0,-0.1255768616721648,85
33,47,47,@ChrisPatrick64 yeah,18,9,267,1618300,BurgerKing,0,0.0,0.0,0.29600000000000004,0.0,2018-03-30 18:53:24,1.0,"['chrispatrick', 'yeah']",13.0,2018.0,1,0,0,-0.049081355270592236,85
34,48,48,@JColesby we’re riding a sugar high,18,1,3,1618300,BurgerKing,0,0.16,0.5399999999999999,0.0,0.0,2018-03-30 18:48:40,1.0,"['jcolesby', 'rid', 'sug', 'high']",13.0,2018.0,1,0,0,-0.09914536625003917,85
35,49,49,@NirvanaMonk116 all chocolate melts...,18,1,33,1618300,BurgerKing,0,0.0,0.0,0.0,0.0,2018-03-30 18:46:58,1.0,"['nirvanamonk', 'chocol', 'melt']",13.0,2018.0,1,0,0,-0.09175672018124888,85
36,50,50,@PepeTheSlayer all you need to do to have a beach body is have a body and go to the beach.,18,1018,3121,1618300,BurgerKing,0,0.0,0.0,0.0,0.0,2018-03-30 18:45:04,1.0,"['pepetheslay', 'nee', 'beach', 'body', 'body', 'go', 'beach']",13.0,2018.0,1,0,0,-0.0917165723030626,85
37,51,51,@NadaSpecial_ thanks for letting us know,18,9,383,1618300,BurgerKing,0,0.2,0.2,0.4404,0.0,2018-03-30 18:44:19,1.0,"['nadaspec', 'thank', 'let', 'us', 'know']",13.0,2018.0,1,0,0,-0.09444011311931187,85
38,52,52,the NEW chocolate Whopper. coming soon to your local Burger King. maybe. https://t.co/9N1snyYhRX,18,2492,6012,1618300,BurgerKing,1,0.06818181818181818,0.2272727272727273,0.0,0.0,2018-03-30 18:39:54,0.0,"['new', 'chocol', 'whop', 'com', 'soon', 'loc', 'burg', 'king', 'mayb', 'httpstconsnyyhrx']",13.0,2018.0,0,0,1,-0.030035281484546893,85
39,53,53,@ynngtrece anytime fam,18,3,2,1618300,BurgerKing,0,0.0,0.0,0.0,0.0,2018-03-30 18:07:19,1.0,"['ynngtrec', 'anytim', 'fam']",13.0,2018.0,1,0,0,-0.10121298113696918,85
40,54,54,@Bflores777 @Gracemaylie2 @DUDEwipes wth,18,56,384,1618300,BurgerKing,0,0.0,0.0,-0.5267,0.0,2018-03-30 18:06:17,1.0,"['bflores', 'gracemay', 'dudewip', 'wth']",13.0,2018.0,1,0,0,-0.12641423136128802,85
41,55,55,@bowentibbetts @PardonMyTake @BarstoolBigCat @PFTCommenter @hen_ease well it’s definitely not a krabby patty,17,1,3,1618300,BurgerKing,0,0.0,0.5,0.5859,0.0,2018-03-30 17:28:54,1.0,"['bowentibbet', 'pardonmytak', 'barstoolbigc', 'pftcommenter', 'heneas', 'wel', 'definit', 'krabby', 'patty']",13.0,2018.0,1,0,0,-0.10534693812681777,85
