"","coefficients","variable","P-Value"
"1",29988.5838932079,"(Intercept)",1.45911695257776e-115
"2",-19971.7721383074,"snArbys",6.11347686720564e-48
"3",-27749.075071508,"snMcDonalds",9.2156341166914e-29
"4",-27822.0546876161,"snBurgerKing",2.72861928274139e-96
"5",36170.1667441781,"pic",1.71172263092112e-105
"6",-235.110655148613,"subjectivity",0.109389022628176
"7",6103.43932632284,"inReply",3.35110841523461e-09
"8",-35941.4687775987,"ats",2.2813663505941e-116
"9",-1133.14874943122,"pounds",9.97401313739146e-08
"10",-408.263835390389,"links",0.0337595556944466
"11",-32476.9259318035,"snArbys:pic",1.78705507075975e-81
"12",-35241.870692585,"snMcDonalds:pic",3.74871519347693e-22
"13",-35456.2651565687,"snBurgerKing:pic",1.11234576107136e-98
"14",-7397.33497663032,"snArbys:inReply",8.3431648886332e-12
"15",-6106.00977085812,"snMcDonalds:inReply",0.0141482536233578
"16",-6327.15705560113,"snBurgerKing:inReply",5.89580158042018e-08
"17",27175.1818476732,"snArbys:ats",5.43660852007536e-63
"18",33858.6263489976,"snMcDonalds:ats",1.94465421440976e-22
"19",34185.4883321849,"snBurgerKing:ats",1.64621955611683e-92
