,text,re,fav
0,"['bank', 'holiday', 'sof', 'met', 'snack']",12,188
1,"['bank', 'holiday', 'meet', 'sof', 'sof', 'bank', 'holiday', 'two', 'get', 'know']",95,538
2,"['nee', 'boost', 'httpstcoqtrdyz']",1,41
3,"['congrat', 'peopl', 'uk', 'stil', 'east', 'eg', 'left']",103,964
4,"['holliek', 'bonfir', 'night']",0,3
5,"['jasperbunny', 'shud', 'next', 'three', 'day']",0,6
6,"['ideksoph', 'gre', 'corn', 'soph']",0,0
7,"['madvix', 'ev', 'breakfast', 'tim']",0,2
8,"['cliveatkinson', 'ther', 'alway', 'on']",0,4
9,"['manpy', 'ste', 'clear', 'deb']",0,6
10,"['jeannalst', 'thought', 'extrav', 'advert', 'vest']",0,5
11,"['cattimon', 'ington', 'boot']",0,10
12,"['diehard', 'east', 'film']",67,468
13,"['sophearl', 'thing', 'good', 'unicyc', 'saxophon', 'countingd', 'list']",0,2
14,"['teafaery', 'wev', 'got', 'lov', 'gingham', 'tableclo', 'could', 'us']",0,0
15,"['lik', 'peopl', 'champ', 'apply', 'new', 'peopl', 'champ', 'httpstcocsfeqrgmn']",6,36
16,"['lukeytoon', 'sorry', 'see', 'luk', 'could', 'email', 'helloinnocentdrinkscouk', 'find', 'what', 'hap', 'mak']",0,0
17,"['moretony', 'eighteen', 'tak', 'bath', 'anty', 'cream']",0,1
18,"['ithinkimmik', 'ev', 'nee', 'model', 'drink', 'know', 'cal']",1,2
19,"['mrgenuinevm', 'oh', 'let', 'us', 'know', 'yo', 'ev', 'west', 'london', 'wel', 'iron', 'red', 'carpet']",0,0
20,"['andrewjvanvleck', 'wel', 'pass', 'dr', 'johnson']",0,2
21,"['vladdesv', 'blush', 'lik', 'pig', 'curliest', 'tail', 'award']",0,1
22,"['ian', 'googl', 'httpstcockrtlxko']",1,8
23,"['vladdesv', 'sorry', 'think', 'wasnt', 'us', 'standard', 'vlad', 'wel', 'writ', 'new', 'onepro', 'c', 'httpstcobcbvaml']",0,2
24,"['int', 'irony', 'spel', 'perfenct', 'httpstcoqlqrxcreax']",16,201
25,"['itunesn', 'zero', 'rts', 'on', 'hot', 'cv', 'also', 'settl', 'rts', 'on', 'hot', 'cv']",0,0
26,"['cyf', 'turn', 'rel', 'mildman', 'prob', 'kept', 'hydr']",0,1
27,"['theseankemp', 'troop', 'sean', 'thank', 'keep', 'country', 'run', 'wel', 'com', 'confus', 'day']",0,19
28,"['today', 'fridaytomorrow', 'saturdayth', 'day', 'saturdayth', 'follow', 'day', 'saturdayth', 'sundayand', 'tuesday']",441,1339
29,"['hello', 'everyon', 'welcom', 'frursday']",88,352
30,"['sullyinthev', 'sorry', 'sul', 'theyr', 'int', 'challeng', 'someth', 'gon', 'wrong', 'somewh', 'httpstcozljdbxe']",0,0
31,"['boxkaty', 'mad', 'hear', 'katy', 'sad', 'dont', 'multipack', 'yet', 'wel', 'put', 'good', 'word']",0,1
32,"['andrewandpet', 'ginil', 'janmurray', 'charmin', 'wendy', 'chubby', 'jetblu', 'generalelect', 'digiorno', 'thank', 'guy', 'thi', 'httpstcoevlcch']",0,2
