,Unnamed: 0,text,created,re,fav,followC,sn,pic,polarity,subjectivity,analyzer,atCompany,date,inReply,textClean,week,year,ats,pounds,links,sent
0,0,@_heymercedes_ Sounds good to us Alanis! We are always craving the opportunity to see more of you. :),18,0,0,3580957,McDonalds,0,0.625,0.7000000000000001,0.8502,0.0,2018-04-15 18:56:57,1.0,"['heymerc', 'sound', 'good', 'us', 'al', 'alway', 'crav', 'opportun', 'see']",15.0,2018.0,1,0,0,-0.09992029981348377
1,1,@vaatto We like to evolve our menu so we change it up from time to time. Hope you find a new favorite Ronnie!,18,0,0,3580957,McDonalds,0,0.3806818181818182,0.7272727272727273,0.8268,0.0,2018-04-15 18:52:00,1.0,"['vaatto', 'lik', 'evolv', 'menu', 'chang', 'tim', 'tim', 'hop', 'find', 'new', 'favorit', 'ronny']",15.0,2018.0,1,0,0,-0.05615137708511348
2,2,@RyleeGanter Rylee All Day Lunch? It sounds tasty but for now we’re focused on #AllDayBreakfast and will continue… https://t.co/S9A1yLVobQ,18,0,0,3580957,McDonalds,0,0.0,0.0,0.5267,0.0,2018-04-15 18:45:00,1.0,"['ryleeg', 'ryl', 'day', 'lunch', 'sound', 'tasty', 'focus', 'alldaybreakfast', 'continu', 'httpstcosaylvobq']",15.0,2018.0,1,1,1,-0.09486840080193103
3,3,@TitaniumTurtle7 Sounds like you’re livin’ the dream Jonny :),18,1,1,3580957,McDonalds,0,0.5,1.0,0.7579,0.0,2018-04-15 18:44:26,1.0,"['titaniumturtl', 'sound', 'lik', 'yo', 'livin', 'dream', 'jonny']",15.0,2018.0,1,0,0,-0.09391065255458002
4,4,@BeccaBeveridge Treat yourself Becca! You've earned it!,18,0,0,3580957,McDonalds,0,0.0,0.0,0.508,0.0,2018-04-15 18:43:52,1.0,"['beccabeveridg', 'tre', 'becc', 'youv', 'earn']",15.0,2018.0,1,0,0,-0.08571274528779185
5,5,@Mariaaelenaa_ Sounds like you made the right choice with #AllDayBreakfast Maria! ☺,18,0,0,3580957,McDonalds,0,0.3571428571428571,0.5357142857142857,0.4199,0.0,2018-04-15 18:41:00,1.0,"['mariaaelena', 'sound', 'lik', 'mad', 'right', 'cho', 'alldaybreakfast', 'mar']",15.0,2018.0,1,1,0,-0.10098881816880183
6,6,@Just_Jessie7 Sounds like you’re livin’ the dream Jessie :),18,1,2,3580957,McDonalds,0,0.5,1.0,0.7579,0.0,2018-04-15 18:20:27,1.0,"['justjessy', 'sound', 'lik', 'yo', 'livin', 'dream', 'jessy']",15.0,2018.0,1,0,0,-0.08566956889851839
7,7,@Shonjonnn Nice choice Shae. Air high-five!,18,0,1,3580957,McDonalds,0,0.75,1.0,0.4753,0.0,2018-04-15 18:19:57,1.0,"['shonjonn', 'nic', 'cho', 'sha', 'air', 'highf']",15.0,2018.0,1,0,0,-0.1032259007574347
8,8,@jazminealiah Alert! We have a McD’s emergency! Someone get Jazmine some McDonald's stat!,18,1,1,3580957,McDonalds,0,0.0,0.0,-0.3129,0.0,2018-04-15 18:14:29,1.0,"['jazminealiah', 'alert', 'mcds', 'emerg', 'someon', 'get', 'jazmin', 'mcdonalds', 'stat']",15.0,2018.0,1,0,0,-0.08416408247959574
9,9,@kay_reneex Kaylor glad the Hot Mustard Sauce was able to blow your taste buds away with its awesome flavor :),18,0,0,3580957,McDonalds,0,0.55,0.8949999999999999,0.8779,0.0,2018-04-15 18:08:00,1.0,"['kayreneex', 'kayl', 'glad', 'hot', 'mustard', 'sauc', 'abl', 'blow', 'tast', 'bud', 'away', 'awesom', 'flav']",15.0,2018.0,1,0,0,-0.0726394609414716
10,10,"@cakeycakes28 That’s cool. It’s like that old saying “The stomach wants what the stomach wants.""",17,0,1,3580957,McDonalds,0,0.2125,0.2625,0.5859,0.0,2018-04-15 17:55:30,1.0,"['cakeycak', 'that', 'cool', 'lik', 'old', 'say', 'stomach', 'want', 'stomach', 'want']",15.0,2018.0,1,0,0,-0.08313747685714888
11,11,@AlanFThomas Treat yourself Alan! You've earned it!,17,0,0,3580957,McDonalds,0,0.0,0.0,0.508,0.0,2018-04-15 17:53:30,1.0,"['alanfthoma', 'tre', 'al', 'youv', 'earn']",15.0,2018.0,1,0,0,-0.03480327135833466
12,12,@saritabonita_34 Thanks Sarita! Sprite + us is just the perfect match!,17,0,0,3580957,McDonalds,0,0.625,0.6,0.8011,0.0,2018-04-15 17:48:28,1.0,"['saritabonit', 'thank', 'sarit', 'sprite', 'us', 'perfect', 'match']",15.0,2018.0,1,0,0,-0.07125791171114373
13,13,@nokwandanonyezi Sounds good to us! We are always craving the opportunity to see more of you. :),17,0,1,3580957,McDonalds,0,0.625,0.7000000000000001,0.8502,0.0,2018-04-15 17:45:00,1.0,"['nokwandanonyez', 'sound', 'good', 'us', 'alway', 'crav', 'opportun', 'see']",15.0,2018.0,1,0,0,-0.09442884899814884
14,14,@Hunterrob52 Sometimes restaurants switch up local menus Hunter. Hope you can find a new favorite!,17,1,2,3580957,McDonalds,0,0.2537878787878788,0.4848484848484849,0.7345,0.0,2018-04-15 17:40:26,1.0,"['hunterrob', 'sometim', 'resta', 'switch', 'loc', 'men', 'hunt', 'hop', 'find', 'new', 'favorit']",15.0,2018.0,1,0,0,-0.11309577049633214
15,15,@ckolavo That’s cool Clayton! Sounds like you have great taste! :),17,1,2,3580957,McDonalds,0,0.6458333333333334,0.7999999999999999,0.9097,0.0,2018-04-15 17:34:58,1.0,"['ckolavo', 'that', 'cool', 'clayton', 'sound', 'lik', 'gre', 'tast']",15.0,2018.0,1,0,0,-0.1058379569568869
16,16,@lilbumpb Hi! Thanks for reaching out. We like to keep things fresh so we change up our menu from time to time.,17,1,1,3580957,McDonalds,0,0.25,0.35,0.8313,0.0,2018-04-15 17:30:24,1.0,"['lilbumpb', 'hi', 'thank', 'reach', 'lik', 'keep', 'thing', 'fresh', 'chang', 'menu', 'tim', 'tim']",15.0,2018.0,1,0,0,-0.0622688450039245
17,17,@mark_esquilin Air high-five Mark!,17,0,1,3580957,McDonalds,0,0.0,0.0,0.0,0.0,2018-04-15 17:29:27,1.0,"['markesquilin', 'air', 'highf', 'mark']",15.0,2018.0,1,0,0,-0.0876404261409079
18,18,@taya_maya Hi Taya! Thanks for reaching out. We like to keep things fresh so we change up our menu from time to time.,17,0,0,3580957,McDonalds,0,0.25,0.35,0.8313,0.0,2018-04-15 17:16:00,1.0,"['tayamay', 'hi', 'tay', 'thank', 'reach', 'lik', 'keep', 'thing', 'fresh', 'chang', 'menu', 'tim', 'tim']",15.0,2018.0,1,0,0,-0.07557988380330412
19,19,@kamesch That’s cool Kelsi! Sounds like you have great taste! :),17,0,0,3580957,McDonalds,0,0.6458333333333334,0.7999999999999999,0.9097,0.0,2018-04-15 17:13:26,1.0,"['kamesch', 'that', 'cool', 'kels', 'sound', 'lik', 'gre', 'tast']",15.0,2018.0,1,0,0,-0.09869710140369534
20,20,@NickWil49222129 Nick this is what dreams are made of…. World Famous Fries and a McDouble!,17,1,5,3580957,McDonalds,0,0.625,1.0,0.4574,0.0,2018-04-15 17:11:55,1.0,"['nickwil', 'nick', 'dream', 'mad', 'world', 'fam', 'fri', 'mcdouble']",15.0,2018.0,1,0,0,-0.07938848663173798
21,21,@semoyer Thanks Sarah! We must be hearing the same tune because that’s music to our ears.,17,0,0,3580957,McDonalds,0,0.125,0.1625,0.4926,0.0,2018-04-15 17:11:00,1.0,"['semoy', 'thank', 'sarah', 'must', 'hear', 'tun', 'that', 'mus', 'ear']",15.0,2018.0,1,0,0,-0.08875699101171111
22,22,@adriansuniga Sounds like you made the right choice with #AllDayBreakfast Adrian! ☺,17,0,0,3580957,McDonalds,0,0.3571428571428571,0.5357142857142857,0.4199,0.0,2018-04-15 17:10:51,1.0,"['adriansunig', 'sound', 'lik', 'mad', 'right', 'cho', 'alldaybreakfast', 'adr']",15.0,2018.0,1,1,0,-0.113080805936334
23,23,@ParryMikayle13 Breakfast game on point.,17,0,0,3580957,McDonalds,0,-0.4,0.4,0.0,0.0,2018-04-15 17:08:58,1.0,"['parrymikayl', 'breakfast', 'gam', 'point']",15.0,2018.0,1,0,0,-0.027986990680458415
