,text,re,fav
0,"['blu', 'jay', 'camp', 'aroundmitphoto', 'melany', 'gonick', 'httpstcoonsvimitf']",8,40
1,"['rt', 'mitmech', 'mit', 'engin', 'design', 'microfluid', 'platform', 'connect', 'engin', 'tissu', 'org', 'allow']",32,0
2,"['build', 'infrastruct', 'pay', 'tak', 'lifecyc', 'perspect', 'httpstcorhvqazqgj', 'httpstcoxtzkbpsl']",12,45
3,"['kat', 'zwaard', 'librarycongress', 'del', 'op', 'keynot', 'mitlibr', 'grand', 'challeng', 'summit', 'httpstcoxbexmzwiy']",8,23
4,"['techn', 'could', 'prev', 'overh', 'laptop', 'mobl', 'phon', 'electron', 'httpstcommojozmji', 'httpstcokdaydlo']",60,134
5,"['id', 'sim', 'larg', 'comply', 'react', 'system', 'rely', 'cheaply', 'quick', 'understand', 'qua', 'httpstcoqjwbxir']",15,90
6,"['comput', 'photograph', 'could', 'solv', 'problem', 'bedevil', 'selfdr', 'car', 'httpstcodcezfi', 'httpstcowanpdpcwc']",47,132
7,"['cit', 'dis', 'gre', 'boston', 'stud', 'gath', 'build', 'prototyp', 'person', 'assist', 'httpstcobyadwsmsh']",69,189
8,"['rt', 'mitocw', 'new', 'cours', 'lab', 'chem', 'introduc', 'principl', 'apply', 'chem', 'lab', 'techn', 'spec', 'stu']",20,0
9,"['sprouting', 'greenery', 'commun', 'httpstcobdpkrjhg', 'mindhandheart', 'httpstcoynkpzhkaf']",24,86
10,"['comput', 'search', 'telescop', 'dat', 'evid', 'dist', 'planet', 'httpstcouxsndezf', 'httpstcoqaccrjycc']",59,140
11,"['research', 'project', 'find', 'hum', 'bot', 'prim', 'respons', 'spread', 'mislead', 'inform', 'httpstcoitvchlgm']",50,100
12,"['rt', 'mitbiolog', 'comp', 'bacter', 'yeast', 'genewe', 'li', 'gradu', 'stud', 'jeanbenot', 'lalan', 'demonst', 'evolv', 'p']",30,0
13,"['rt', 'mitsloanadcom', 'fut', 'toysr', 'stil', 'flux', 'learn', 'past', 'mistak', 'two', 'mitslo', 'expert', 'weigh']",13,0
14,"['rt', 'sciencemit', 'study', 'hotspot', 'hawai', 'giv', 'sci', 'new', 'understand', 'mantl', 'mix', 'httpstcoafeiydutxq', 'httpstco']",14,0
15,"['technolog', 'mak', 'us', 'less', 'happy', 'less', 'fre', 'less', 'connect', 'via', 'voxdotcom', 'httpstcolkjzhnyox']",68,133
16,"['meas', 'econom', 'loc', 'dat', 'httpstcoeftvkoomb', 'httpstcoxniwurycpk']",26,71
17,"['eugeny', 'brinkem', 'study', 'aesthet', 'eth', 'hor', 'film', 'httpstconcoxvvp', 'httpstcorxboans']",7,37
18,"['play', 'bal', 'celebr', 'openingday', 'get', 'know', 'mitengin', 'basebal', 'team', 'httpstcohulsmywml', 'httpstconxmoqmbpz']",7,37
19,"['rt', 'mitalumn', 'hear', 'techreun', 'reg', 'op', 'reg', 'sav', 'ear', 'reg', 'discount', 'httpstc']",10,0
20,"['rt', 'whiteheadinst', 'whitehead', 'hhmi', 'sci', 'put', 'structural', 'fac', 'protein', 'nam', 'gat', 'act', 'onoff', 'switch', 'f']",40,0
21,"['pul', 'wat', 'air', 'via', 'up', 'httpstcorhysdvofl']",41,80
22,"['reimagin', 'rethink', 'engin', 'educ', 'httpstcozibrdtswu', 'mitengin', 'photo', 'jak', 'belch', 'httpstcoishmeape']",22,75
23,"['sci', 'report', 'first', 'result', 'cuor', 'neutrino', 'expery', 'httpstcoyvylyjgane', 'httpstcoyalovd']",28,78
24,"['mit', 'seny', 'matthew', 'chun', 'understand', 'difficul', 'bring', 'new', 'technolog', 'conceiv', 'market', 'httpstcowxamqypla']",17,97
25,"['forb', 'boston', 'busy', 'council', 'recommend', 'martin', 'trust', 'cent', 'gre', 'resourc', 'earlyst', 'boston', 'httpstcosevelh']",11,54
26,"['paperfold', 'art', 'inspir', 'bet', 'band', 'httpstconiwdkhj', 'httpstcojldyslmmz']",36,118
27,"['spec', 'build', 'begin', 'via', 'qz', 'mith', 'httpstcofndabzinek']",37,89
28,"['get', 'excit', 'nasatess', 'tessatmit', 'newest', 'planetseek', 'satellit', 'launch', 'next', 'mon', 'httpstcooqzzlp']",40,90
29,"['rt', 'mitshass', 'world', 'think', 'world', 'meet', 'mit', 'the', 'direct', 'charlot', 'brathwait', 'httpstcomwatqwvfd', 'world']",18,0
30,"['way', 'go', 'colleen', 'campbel', 'httpstcosayfdtda']",11,57
31,"['rt', 'mitslo', 'peopl', 'ar', 'rat', 'neith', 'fin', 'market', 'cre', 'httpstcobctmfqo']",66,0
32,"['rt', 'mitlibr', 'front', 'door', 'get', 'makeov', 'check', 'new', 'graph', 'going', 'hayd', 'libr', 'timelaps', 'video', 'p']",9,0
33,"['oft', 'med', 'problem', 'lead', 'bankruptcy', 'httpstcoqzxaelyvv', 'httpstcowttchcq']",16,37
34,"['new', 'way', 'find', 'bet', 'battery', 'mat', 'httpstcoveclrqnq', 'httpstcoydeszoujq']",37,86
35,"['mit', 'seny', 'mehmet', 'ef', 'akengin', 'aim', 'innov', 'gre', 'good', 'httpstcosbrhpeosh', 'httpstcoxoplifywr']",35,118
36,"['mit', 'study', 'show', 'elect', 'charg', 'plan', 'would', 'reduc', 'risk', 'struck', 'lightn', 'httpstcojpbbibubr']",41,131
37,"['atom', 'structure', 'resembl', 'japanes', 'basketweav', 'pattern', 'kagom', 'met', 'exhibit', 'exot', 'quant', 'behav', 'httpstcojtorpyh']",61,160
38,"['togeth', 'cant', 'alon', 'yoyo', 'del', 'compton', 'lect', 'httpstcoiojglppia']",60,142
39,"['timelaps', 'lobby', 'lov', 'weekend', 'everyonevideo', 'nichola', 'curtismit', 'httpstcoshofpvmct']",40,169
40,"['rt', 'wmbr', 'record', 'libr', 'feat', 'tour', 'hid', 'libr', 'mit', 'read', 'tour', 'httpstconxdofsq', 'mitlibr']",22,0
41,"['meliss', 'nobl', 'profess', 'polit', 'sci', 'ken', 'sahin', 'dean', 'mit', 'school', 'hum', 'art', 'httpstcolwwllena']",27,68
42,"['rt', 'mitengin', 'hel', 'sakharov', 'fin', 'st', 'nca', 'fent', 'champ', 'httpstcoztxjajus', 'rolltech', 'httpstcotluwdbpe']",5,0
43,"['rt', 'mitstud', 'weekend', 'get', 'behind', 'scen', 'look', 'mit', 'shakespear', 'ensembl', 'queen', 'lear', 'httpstcozthccympe', 'httpstc']",6,0
44,"['black', 'superhero', 'everyon', 'know', 'via', 'huffpost', 'httpstconuiorema', 'part', 'httpstcooeigwess']",20,59
45,"['yuriy', 'rom', 'chem', 'engin', 'pursu', 'renew', 'energy', 'httpstcokvbuqtdxzm', 'httpstcoiidghxwu']",20,60
46,"['alumn', 'videocapt', 'dron', 'track', 'mov', 'subject', 'fre', 'navig', 'environ', 'httpstcobbfdzouxn']",18,70
47,"['solarpow', 'system', 'util', 'metalorg', 'framework', 'mof', 'abl', 'pul', 'wat', 'extrem', 'dry', 'httpstcooqzmltgmr']",62,130
48,"['rt', 'mitshass', 'analys', 'mitpolisc', 'profess', 'cstewartiii', 'publ', 'opin', 'elect', 'hack', 'chang', 'sint', 'electio']",18,0
49,"['alumna', 'unit', 'mit', 'wom', 'unconf', 'httpstcogptrkplas', 'httpstcorfwyzhkv']",8,31
50,"['new', 'study', 'on', 'common', 'genet', 'caus', 'aut', 'suggest', 'particul', 'gen', 'mvp', 'lik', 'con', 'httpstcowzjdvtan']",20,51
51,"['soft', 'robot', 'fish', 'swim', 'alongsid', 'real', 'on', 'cor', 'reef', 'httpstcobtzislaz', 'mitcsail', 'httpstcoarrrbgb']",56,125
52,"['find', 'may', 'lead', 'sci', 'reinterpret', 'seism', 'map', 'earth', 'intery', 'httpstcoftxjhotuu', 'httpstcothkuymlr']",15,57
53,"['am', 'increas', 'unhappy', 'policymak', 'car', 'via', 'commonheal', 'httpstcocbfgaaypq']",20,54
54,"['rt', 'artsatmit', 'mit', 'profess', 'emerit', 'joan', 'jona', 'car', 'survey', 'tat', 'modern', 'london', 'actmit', 'mitsap', 'mitlistart', 'read', 'nytim']",18,0
55,"['rt', 'mitengin', 'bri', 'bubn', 'tab', 'third', 'footbal', 'head', 'coach', 'mitfootbal', 'hist', 'tuesday', 'afternoon', 'rolltech', 'mit', 'dfootb']",22,0
56,"['mit', 'medialab', 'spinout', 'cogitocorp', 'us', 'metl', 'detect', 'sign', 'distress', 'emot', 'custo', 'httpstcosrexthjduo']",20,40
57,"['jun', 'park', 'gat', 'cambridg', 'scholar', 'httpstcotqtfmbyto', 'httpstcoqoecggbopx']",14,67
58,"['depthsens', 'im', 'system', 'peer', 'fog', 'httpstcodcezfivideo', 'melany', 'gonickmit', 'httpstcovtyochni']",23,84
59,"['second', 'an', 'wom', 'dat', 'sci', 'conf', 'showcas', 'research', 'expl', 'challeng', 'httpstcohozucjkp', 'httpstcowyjwmggdv']",21,71
60,"['worldrenown', 'cel', 'yoyom', 'cal', 'cult', 'act', 'build', 'bet', 'world', 'httpstcozygdzslke', 'httpstcoxxdfder']",42,94
61,"['happy', 'firstdayofspr', 'vern', 'equinox', 'ar', 'today', 'northern', 'hemisphereillust', 'joselu', 'oliv', 'httpstcohaenokxb']",35,96
62,"['rt', 'mitshass', 'may', 'exampl', 'continu', 'inspir', 'young', 'peopl', 'beat', 'od', 'ask', 'big', 'ungain', 'quest', 'univers']",32,0
63,"['rt', 'mitc', 'although', 'microb', 'smal', 'larg', 'impact', 'lot', 'biggest', 'problem', 'clim', 'chang', 'food', 'produ']",22,0
64,"['mit', 'gradu', 'engin', 'busy', 'sci', 'program', 'rank', 'high', 'us', 'new', 'httpstcoqdeqcrhr', 'httpstcoglwpklbfox']",19,113
65,"['phys', 'discov', 'new', 'quant', 'electron', 'mat', 'httpstconmvihlq', 'httpstcoeztzoy']",79,162
66,"['felt', 'lik', 'could', 'get', 'comput', 'anyth', 'want', 'meet', 'latanyasweeney', 'sm', 'phd', 'first', 'black', 'httpstcoucuagtnug']",31,114
67,"['janu', 'scholars', 'frant', 'program', 'stud', 'discov', 'behindthesc', 'par', 'city', 'story', 'streets', 'httpstcoyinudxohj']",14,45
68,"['frosty', 'view', 'mit', 'aboveim', 'kylekleinphoto', 'hoverboston', 'httpstcourutyweo']",68,268
69,"['rt', 'mitengin', 'kohrsrickem', 'mitwten', 'earn', 'third', 'straight', 'newmacsport', 'week', 'doubl', 'hon', 'rickem', 'singl', 'pla']",8,0
70,"['rt', 'mitdeptofb', 'im', 'darrel', 'irvin', 'lab', 'left', 'photo', 'ron', 'weiss', 'lab', 'among', 'win', 'koch', 'institut', 'publ', 'gallery', 'displ']",21,0
71,"['sci', 'detect', 'radio', 'echo', 'black', 'hol', 'fee', 'star', 'httpstcohntzsrpm', 'httpstcofhyldzrul']",122,219
72,"['ear', 'cal', 'cle', 'energy', 'propel', 'undergradu', 'kay', 'ya', 'research', 'next', 'gen', 'nuclear', 'tec', 'httpstcothaofual']",13,63
73,"['new', 'techn', 'nontox', 'cel', 'allow', 'sci', 'study', 'neuron', 'funct', 'month', 'year', 'instead', 'httpstcoyltgovde']",53,148
74,"['emit', 'mil', 'year', 'big', 'bang', 'sign', 'ind', 'univers', 'much', 'cold', 'expect', 'httpstcotbchniejz']",79,228
75,"['happy', 'stpatricksday', 'enjoy', 'fantast', 'ir', 'step', 'dant', 'wood', 'school', 'ir', 'dant', 'entertain', 'httpstcogcdyrnfjq']",57,300
76,"['rt', 'mitshass', 'grow', 'ineq', 'undermin', 'am', 'valu', 'mitecon', 'pet', 'temin', 'propos', 'fiv', 'remedy', 'httpstcoabvqwbx']",31,0
77,"['mitsoftbal', 'trex', 'mak', 'dinomit', 'play', 'plat', 'tuesday', 'blizzard', 'thisismit', 'video', 'mit', 'j', 'httpstcokcxxzulwz']",53,229
78,"['robot', 'develop', 'miteec', 'stud', 'ben', 'katz', 'jar', 'di', 'carlo', 'solv', 'rubikscub', 'second', 'yo', 'httpstcokwdxxach']",456,778
79,"['body', 'chip', 'could', 'improv', 'drug', 'evalu', 'httpstcojeybacgdz', 'httpstcoecgezywav']",37,53
80,"['seny', 'isabell', 'pecorar', 'build', 'support', 'commun', 'mit', 'beyond', 'httpstcoadpmflv', 'httpstcoplwumxx']",7,43
81,"['study', 'find', 'ad', 'volc', 'ash', 'reduc', 'overal', 'energy', 'requir', 'manufact', 'concret', 'httpstcoavfvgmdo', 'httpstcotbtztyg']",49,81
82,"['paulin', 'morrow', 'austin', 'join', 'mit', 'rad', 'lab', 'recogn', 'lead', 'scholar', 'aid', 'war', 'effort', 'httpstcoufgwiykexu']",42,145
83,"['rt', 'whiteheadinst', 'research', 'whitehead', 'institut', 'uncov', 'framework', 'reg', 'may', 'explain', 'predict', 'stem', 'cel']",45,0
84,"['rt', 'mitalumn', 'on', 'wom', 'gradu', 'class', 'marth', 'goodway', 'would', 'becom', 'first', 'ful', 'tim', 'metallurg', 'us']",10,0
85,"['sci', 'find', 'seism', 'im', 'blind', 'wat', 'httpstcoftxjhotuuanimation', 'christine', 'daniloffmit', 'httpstcosidksrxwm']",30,60
86,"['steph', 'hawk', 'renown', 'sci', 'icon', 'die', 'ag', 'httpstcofejimqsyqs', 'httpstcorkywtgulb']",63,264
87,"['brain', 'rhythm', 'act', 'gat', 'inform', 'ent', 'leav', 'mind', 'httpstcovvzfrdh', 'httpstcoiixballad']",49,102
88,['httpstcolzpjjsmrm'],34,275
89,"['class', 'regul', 'admit', 'decid', 'liv', 'congr', 'mitanim', 'christine', 'daniloffmit', 'httpstcovmubnnvguw']",51,202
90,"['rt', 'cambscifest', 'happy', 'piday', 'room', 'mitmuse', 'httpstcobsmejruuqz', 'httpstcovrkzcbo']",10,0
91,"['rt', 'mitalumn', 'past', 'pithem', 'halfway', 'point', 'giv', 'mit', 'today', 'hon', 'hour', 'challeng', 'spread', 'w']",27,0
92,"['mit', 'hop', 'await', 'admit', 'decid', 'giv', 'essay', 'echoetweet', 'levinth', 'par', 'httpstcobwhoytm']",41,120
93,"['many', 'digit', 'know', 'heart', 'piday', 'httpstcosfupgqvji']",253,561
94,"['happy', 'birthday', 'alberteinstein', 'us', 'e', 'mcanim', 'joselu', 'olivaresmit', 'httpstcozsiexpls']",306,735
95,"['today', 'celebr', 'pidayim', 'chelse', 'turn', 'httpstcotasmbegh']",243,458
96,"['mit', 'invit', 'join', 'friend', 'famy', 'whol', 'mit', 'commun', 'part', 'anoth', 'gre', 'mit', 'collabor', 'httpstcolenqbckwo']",15,71
97,"['rt', 'mitalert', 'mit', 'reop', 'resum', 'norm', 'op', 'wednesday', 'march']",7,0
98,"['look', 'institut', 'whit', 'blizzard', 'aroundmit', 'video', 'lil', 'paquettemitengin', 'httpstcojauqgcpg']",100,360
99,"['stud', 'build', 'assist', 'technolog', 'mit', 'an', 'athack', 'httpstcojzofwjda', 'httpstcoiimeyjgfy']",24,93
100,"['autonom', 'skydiohq', 'selfy', 'dron', 'httpstcoknyirdifvr', 'httpstcojnfukhyuh']",23,80
101,"['rt', 'makerswom', 'start', 'busy', 'colleg', 'dormit', 'she', 'found', 'mil', 'doll', 'company', 'meet', 'wom', 'beh']",109,0
102,"['mit', 'clos', 'today', 'due', 'blizzard', 'stay', 'saf', 'cozy', 'yo', 'cambm', 'cambmasnow', 'httpstcoifqzherex']",70,385
103,"['sery', 'med', 'problem', 'reduc', 'earn', 'hurt', 'employ', 'increas', 'debt', 'httpstconowseqhuo', 'httpstcofgoblxpq']",13,39
104,"['rt', 'mitalert', 'due', 'anticip', 'wint', 'weath', 'mit', 'clos', 'tuesday', 'march', 'check', 'httpstcotwuokubdh']",24,0
105,"['rt', 'mindhandheart', 'many', 'thank', 'depart', 'off', 'stud', 'org', 'particip', 'random', 'act', 'kind']",12,0
106,"['congrat', 'mitocw', 'youtub', 'goldplaybutton', 'mak', 'mit', 'cours', 'mat', 'avail', 'everyon', 'httpstcomboerhin']",67,250
107,"['meet', 'katharin', 'mccormick', 'pion', 'suffr', 'bir', 'control', 'mov', 'namesak', 'mit', 'mccormick', 'httpstcoytbiyvytrp']",24,63
108,"['study', 'twit', 'fals', 'new', 'travel', 'fast', 'tru', 'story', 'httpstcortqzkqo', 'httpstconatiqqlj']",54,75
109,"['childr', 'young', 'brain', 'network', 'devot', 'interpret', 'thought', 'peopl', 'httpstcoarkbotli', 'httpstcovamxhsixvp']",42,101
110,"['emit', 'mil', 'year', 'big', 'bang', 'sign', 'ind', 'univers', 'much', 'cold', 'expect', 'httpstcoguvwsos']",35,84
111,"['sherlock', 'strip', 'pap', 'ind', 'pres', 'pathog', 'tum', 'dna', 'genet', 'sign', 'int', 'httpstcowqusxdsel']",133,264
112,"['corb', 'swain', 'continu', 'meld', 'techn', 'art', 'interest', 'expl', 'pot', 'innov', 'httpstcognoymkasm']",23,65
113,"['rt', 'mitalumn', 'gam', 'day', 'mitmb', 'che', 'tun', 'tak', 'middathlet', 'ncaadii', 'sweet', 'sixteen', 'https']",6,0
114,"['rt', 'mitmech', 'upcom', 'weekend', 'alumn', 'jessic', 'shi', 'second', 'left', 'pres', 'tactilemit', 'realtim', 'text', 'brail', 'convert']",16,0
115,"['rt', 'mitsloanexec', 'new', 'blog', 'partn', 'univers', 'innov', 'ecosystem', 'unlock', 'valu', 'httpstcobrviph']",5,0
116,"['evad', 'inflight', 'lightn', 'strikes', 'httpstcoetkvynaw', 'httpstcokwwvppb']",41,80
117,"['seen', 'lobby', 'morn', 'thank', 'mitstud', 'httpstcocktdbnbe']",116,410
118,"['new', 'approach', 'fus', 'energy', 'start', 'today', 'mariazub', 'vic', 'presid', 'research', 'bostonglob', 'httpstcoeggjwcn']",71,132
119,"['rt', 'bostonglob', 'globetechlab', 'mit', 'say', 'nuclear', 'fus', 'pract', 'energy', 'sourc', 'less', 'two', 'decad', 'away', 'httpstcoblovyb']",48,0
120,"['mit', 'new', 'form', 'company', 'launch', 'novel', 'approach', 'fus', 'pow', 'httpstcoknzqtokv', 'httpstcopdsrkio']",187,305
121,"['turbo', 'yearold', 'mix', 'bree', 'youl', 'find', 'turbo', 'mitphys', 'academ', 'off', 'lov', 'peopl', 'ag', 'httpstcomzemljld']",33,161
122,"['rt', 'mitsloanalumn', 'part', 'mitsloanwom', 'gre', 'expery', 'opportun', 'plan', 'ev', 'com']",7,0
