,text,re,fav
0,"['someon', 'got', 'ta', 'right', 'httpstcorxkynluksc']",183,1047
1,"['rickey', 'alway', 'bring', 'swag', 'httpstcoshftbxg']",239,1425
2,"['almost', 'didnt', 'end', 'wel', 'httpstcoxlvapzkk']",679,2326
3,"['leav', 'work', 'friday', 'lik', 'httpstcosjollbnfo']",442,2156
4,"['ow', 'wilson', 'voic', 'httpstcousmundudq']",593,3398
5,"['jenny', 'box', 'httpstcoodtqipzy']",1081,5143
6,"['simplyas', 'cal', 'gam', 'walkoff', 'httpstcobjmqrdhvc']",94,546
7,"['cant', 'get', 'highf', 'earn', 'pinstrip', 'httpstcohwwtmrw']",353,1664
8,"['lik', 'fath', 'lik', 'son', 'httpstcohjfgcqzt']",2088,7236
9,"['lov', 'mont', 'httpstcolpqi']",187,1782
10,"['cest', 'magnif', 'httpstcocqbjekwzj']",133,1027
11,"['nowthatwinterisov', 'basebal', 'iseverythingallthetim', 'httpstcohehpgxzn']",683,2838
12,"['fridayfeel', 'httpstcocvodzhzee']",92,449
13,['httpstconguymrhgd'],33,160
14,"['skrt', 'skrt', 'httpstcoowiqyufao']",176,659
15,"['ey', 'httpstcoinqbvmnd']",292,1488
16,"['v', 'p', 'httpstcolfgdmnellj']",44,237
17,"['bash', 'bro', 'httpstcohwrxnzod']",367,1275
18,"['com', 'httpstcoqtqmsnsiny']",13,114
19,['httpstcoqhujoztwd'],19,139
20,"['arizzo', 'wyd', 'httpstcomanevyswx']",221,1329
21,"['said', 'could', 'nasty', 'awoodspringtrain', 'httpstcojacpvfvsv']",80,491
22,"['on', 'rub', 'head', 'httpstcosfsuhr']",63,802
23,"['claytonkersh', 'turn', 'todayh', 'curvebal', 'already', 'filthy', 'httpstcoefleq']",249,1278
24,"['wait', 'httpstcopispcjvay']",247,2113
25,"['mad', 'umbc', 'httpstcogetsmqag']",216,1512
26,"['who', 'got', 'fridayfeel', 'httpstcounilsyxd']",11,119
27,"['story', 'lif', 'httpstcosgscipynu']",125,618
28,"['let', 'go', 'let', 'go', 'httpstcoairqjrnrmi']",132,721
29,"['boing', 'boingbo', 'catch', 'httpstcovpfiullv']",218,1383
30,"['nationalnappingday', 'would', 'tak', 'plac', 'monday', 'httpstcozwsxnmqni']",775,2900
31,"['wel', 'accompl', 'goal', 'rimshot', 'httpstcodrkhnkf']",94,851
32,['httpstcoxnrrtdxro'],743,3858
33,"['that', 'unfair', 'httpstcojatasncinl']",121,724
34,"['got', 'ta', 'respect', 'arizzo', 'wheel', 'httpstcocjsucvrp']",436,2304
35,"['ded', 'craft', 'httpstcoxnaspuxmxf']",1063,4529
36,"['icon', 'httpstcooxwlcupuo']",934,3893
37,"['grow', 'watch', 'kevin', 'youkil', 'httpstcokwyxevnes']",443,2595
38,['httpstcoqlrfzrgk'],37,344
39,"['theyr', 'baaaack', 'httpstcojyvdkiueh']",748,3086
40,"['mom', 'say', 'eat', 'veget', 'httpstcorjsnvttks']",115,777
41,"['takin', 'look', 'back', 'back', 'back', 'back', 'back', 'back', 'back', 'back', 'httpstcoalaixeze']",82,640
42,"['shouldnt', 'stand', 'httpstcogrpymjqts']",168,1394
43,"['on', 'cutest', 'baseballhug', 'youl', 'ev', 'see', 'httpstcoykesqcmw']",134,941
44,"['flavafraz', 'got', 'il', 'go', 'check', 'text', 'trav', 'darnaud', 'prob', 'springtraining', 'httpstcofihdxkuk']",160,855
45,"['worldbookday', 'httpstcotxjrfotj']",146,772
46,"['snack', 'get', 'first', 'ballpark', 'season', 'tuesdaythought', 'httpstcogsskmflz']",15,122
47,"['rememb', 'scen', 'austin', 'pow', 'httpstconjprhwzlo']",149,813
48,"['would', 'watch', 'springtraining', 'doggo', 'httpstcofjywepjis']",205,1044
49,"['yeah', 'real', 'springtraining', 'httpstcowabsqzyng']",1000,3292
50,"['loveyourpetday', 'bring', 'ballgam', 'httpstcowvuoelfbe']",59,352
51,"['new', 'team', 'giancarlo', 'springtraining', 'httpstcoslqkqtfkk']",580,1914
52,"['whenthewifigoesdown', 'doesnt', 'play', 'basebal', 'httpstcorhmzfsgzs']",34,234
53,"['team', 'lebron', 'win', 'nbaallst', 'gam', 'httpstcowcxiarca']",132,881
54,"['win', 'dayton', 'httpstcoaucwbvd']",18,103
55,"['che', 'nationaldrinkwineday', 'httpstcohlawako']",52,220
56,"['keep', 'smil', 'didig', 'birthday', 'httpstcohznuzlgl']",359,2250
57,"['happy', 'valentinesday', 'httpstcoppbghyzrs']",137,631
58,"['new', 'threads', 'faridyu', 'httpstcotbwwlanja']",193,874
59,"['fattuesday', 'httpstcoasjxsjtg']",264,1040
60,"['pitch', 'catch', 'tomorrow', 'springtrainingmood', 'httpstcolphkkmxrix']",2302,6702
61,"['pizz', 'breakfast', 'say', 'nationalpizzaday', 'httpstcocitquklez']",115,607
62,"['nowthatfootballisov', 'already', 'know', 'httpstcomplkwwohfm']",329,1356
63,"['catch', 'superbowl', 'httpstcopesldnfl']",255,1374
64,"['superbowl', 'httpstcohrhfaq']",121,550
65,"['catch', 'superbowl', 'httpstcorrtvpmvem']",106,1106
66,"['fin', 'see', 'superbowl', 'spread', 'httpstcowzvlodbsv']",58,413
67,"['woah', 'half', 'way', 'therewoah', 'livin', 'finishsonglyricswithg', 'httpstcoybdornofj']",198,1114
68,"['nooffseason', 'bigsexy', 'httpstcowluvuxbkv']",160,911
69,"['smil', 'worthy', 'hal', 'hof', 'httpstconrztpyl']",64,369
70,['httpstcohzurwextp'],220,1017
71,"['nationalpopcornday', 'httpstcocuqxvhc']",155,1014
72,"['nationalrubberduckyday', 'httpstcohjmlmwpe']",170,968
73,"['entir', 'group', 'chat', 'pag', 'weekend', 'plan', 'httpstcohfsmixvqj']",195,1053
74,"['rememb', 'tomorrow', 'payday', 'httpstcockjokxngtd']",311,1301
75,"['see', 'slack', 'httpstcoabiugicza']",84,486
76,"['nationalchamp', 'walkoff', 'httpstcoyrulmrukk']",77,582
77,"['wait', 'hotstov', 'heat', 'lik', 'httpstconvkxtpgsy']",88,604
78,"['riseup', 'mry', 'httpstcowcvhhuzex']",19,202
79,"['com', 'work', 'rememb', 'fridayfridayfeel', 'httpstcodxcklfmws']",214,990
80,"['tomorrow', 'already', 'cal', 'snow', 'day', 'httpstcopjfam']",233,1549
81,"['real', 'hav', 'reach', 'goal', 'httpstcouzpzgrvphv']",315,1294
82,"['lot', 'today', 'minut', 'lat', 'httpstcocgrcfnopm']",859,3524
83,"['keep', 'smil', 'dayhappy', 'birthday', 'colehamel', 'httpstcovvjaodlwu']",80,572
84,"['eat', 'much', 'holiday', 'httpstcogkuznfstlt']",169,968
85,"['grandm', 'got', 'thing', 'last', 'year', 'httpstcocsjpasgk']",78,588
86,"['try', 'sleep', 'tonight', 'lik', 'httpstcoxjtxgkl']",215,1266
87,"['get', 'fam', 'togeth', 'holiday', 'httpstcouxxxye']",454,2344
88,"['birthday', 'dant', 'happy', 'th', 'hanleyramirez', 'httpstcosnxmrbjs']",94,583
89,"['wak', 'festiv', 'morn', 'lik', 'httpstcozmebnasim']",473,1534
90,"['boss', 'let', 'leav', 'work', 'ear', 'httpstconoziuksvcs']",467,1825
91,"['last', 'mon', 'wont', 'let', 'holiday', 'shop', 'stress', 'yearm', 'today', 'httpstcotrpfyk']",288,1200
92,"['tak', 'giancarlo', 'httpstconfsokljsd']",876,2897
93,"['shotim', 'httpstcousverj']",173,570
94,"['star', 'twit', 'fee', 'lik', 'httpstcopibsaems']",816,2831
95,"['angel', 'fan', 'right', 'httpstcoywtamtzu']",814,2863
96,"['intern', 'right', 'fridayfeel', 'httpstcoozzrwmcsxe']",98,482
97,"['nationalcottoncandyday', 'ak', 'anoth', 'chant', 'post', 'best', 'gif', 'internet', 'httpstcogvddokrqql']",302,1118
98,"['shohe', 'ohtan', 'bet', 'pitch', 'hit', 'thursdaythought', 'httpstcoiqhtpio']",30,117
99,"['saf', 'sign', 'night', 'hotstov', 'httpstcosoacsxld']",133,1118
100,"['breakfastlunch', 'dinnernationalcookieday', 'httpstcoiijckzh']",231,962
101,"['anyon', 'bet', 'long', 'ballhappy', 'birthday', 'aaronrodg', 'httpstcoclmosdgl']",182,1135
102,"['bat', 'flip', 'whatilovethemost', 'httpstcoprcyjqbgf']",68,330
103,"['light', 'footbal', 'field', 'rad', 'gunhappy', 'birthday', 'dangerusswilson', 'httpstcobvsfnik']",52,387
104,"['kind', 'givingtuesday', 'httpstcosccppndjus']",63,490
105,"['snag', 'cybermonday', 'deal', 'work', 'httpstcounxzplnzq']",142,823
106,"['domin', 'leftov', 'weekend', 'httpstcogjdonemha']",37,214
107,"['beat', 'everyon', 'els', 'front', 'lin', 'blackfriday', 'httpstcorjwehol']",80,505
108,"['think', 'much', 'yo', 'going', 'eat', 'tomorrow', 'lik', 'thanksg', 'httpstcoizaml']",398,1604
109,"['mvp', 'feel', 'giancarlo', 'fridayfeel', 'httpstcoizqezmnd']",15,148
110,"['mom', 'tru', 'mvp', 'httpstcohbiuigxtc']",88,593
111,"['win', 'fourthclosest', 'mvp', 'tal', 'officialbbwa', 'hist', 'httpstcojaygjwfq']",123,702
112,"['mak', 'three', 'cyyoung', 'award', 'madmax', 'httpstcotynujnaj']",143,495
113,"['tfw', 'win', 'cyyoung', 'award', 'httpstcovkvisgqqz']",289,1299
114,"['sexiestm', 'httpstconrqzhlai']",596,2023
115,"['search', 'gif', 'libr', 'wherev', 'gif', 'liv', 'typ', 'mlb', 'httpstcoiuqtiipke']",20,121
116,"['origin', 'king', 'new', 'york', 'httpstcoiqtgygwk']",530,2043
117,"['codybel', 'feel', 'nl', 'rooky', 'year', 'vib', 'httpstcosfaqzkj']",68,380
118,"['judg', 'famy', 'proud', 'on', 'tonight', 'httpstcokhbydlrxjo']",628,3339
119,"['nev', 'doubt', 'allr', 'httpstcoainiuwhs']",324,1149
120,"['happy', 'worldkindnessday', 'httpstcozeaxqrg']",63,245
121,"['sundayfunday', 'httpstcoallkjxgt']",159,841
122,"['win', 'silverslug', 'goldglov', 'birthday', 'happy', 'th', 'marcel', 'ozun', 'httpstcoebnjvdmkp']",104,718
123,"['look', 'tim', 'real', 'hav', 'mov', 'hour', 'httpstcoxduchukd']",174,1011
124,"['si', 'coverthreeyearslaterand', 'httpstcoifzhaudzkh']",108,874
125,"['friday', 'yet', 'thursdaythought', 'httpstcoaqblbnfql']",70,365
126,"['someon', 'us', 'charact', 'httpstcoxwgobvka']",715,2303
127,"['redsox', 'get', 'new', 'skip', 'httpstcokixwywp']",33,197
128,"['head', 'toward', 'fin', 'lin', 'lik', 'tcsnycmarathon', 'httpstcougcarfu']",100,659
129,"['got', 'ta', 'lov', 'extr', 'hour', 'sleep', 'daylightsavingstim', 'httpstcoqaztwvct']",394,1786
130,"['georg', 'springer', 'remind', 'world', 'champ', 'httpstcohbtzzmtuy']",37,218
131,"['anoth', 'day', 'anoth', 'parad', 'astro', 'httpstcodlragmhq']",76,407
132,"['rollercoast', 'postseason', 'rol', 'coast', 'httpstcoaepakkimsu']",41,326
133,"['whatsexyistom', 'httpstcoribpqcdis']",117,657
134,"['earn', 'worldsery', 'httpstcocvxgomxf']",290,1014
135,"['howtobepopularinwordswin', 'worldsery', 'httpstcoywtsafzn']",179,868
136,"['youv', 'seen', 'on', 'parad', 'flo', 'youv', 'seen', 'httpstcobseieqnh']",361,1498
137,"['ready', 'set', 'champ', 'httpstcoipspeh']",34,252
138,"['mom', 'httpstcogzwszltwh']",106,520
139,"['said', 'ye', 'httpstcoggqzaswu']",1001,4941
140,"['vict', 'champ', 'httpstcoemvossgan']",123,549
141,"['ring', 'ring', 'httpstcoeicyaduaw']",2823,9291
