,Unnamed: 0,text,created,re,fav,followC,sn,pic,polarity,subjectivity,analyzer,atCompany,inReply,textClean,week,year,ats,pounds,links,sent
0,0,@magikturtledog Which location did you visit? We'd like to forward your comments over to the team there.,16,0,0,2489073,0,0,0.0,0.0,0.3612,0.0,1.0,"['magikturtledog', 'loc', 'visit', 'wed', 'lik', 'forward', 'com', 'team']",15.0,2018.0,1,0,0,-0.07308734948972785
1,1,@aimsioinc @Startup_Canada @MastercardCAnws @SlackHQ No reason to be scared. 😏,16,0,1,2489073,0,0,0.0,0.0,-0.6249,0.0,1.0,"['aimsioint', 'startupcanad', 'mastercardcanw', 'slackhq', 'reason', 'scar']",15.0,2018.0,1,0,0,-0.14806627940719147
2,2,@claymbowman We'd rather continue being the best.,16,0,0,2489073,0,0,1.0,0.3,0.6369,0.0,1.0,"['claymbowm', 'wed', 'rath', 'continu', 'best']",15.0,2018.0,1,0,0,-0.0824619405339928
3,3,@littlemissjunko That's awesome! Which Wendy's were you at?,16,0,0,2489073,0,0,1.0,1.0,0.6588,0.0,1.0,"['littlemissjunko', 'that', 'awesom', 'wendy']",15.0,2018.0,1,0,0,-0.0922451195618261
4,4,@whynotsaid @McDonalds All our cheeseburgers are awesome but a Baconator sounds dope right now.,15,1,3,2489073,0,0,0.6428571428571428,0.7678571428571428,0.3716,0.0,1.0,"['whynotsaid', 'mcdonalds', 'cheeseburg', 'awesom', 'bacon', 'sound', 'dop', 'right']",15.0,2018.0,1,0,0,-0.12841943674854267
5,5,@DragonMaster145 Sorry that this happened. Please send us a DM so we can make this right.,15,0,0,2489073,0,0,-0.10714285714285716,0.7678571428571428,0.25,0.0,1.0,"['dragonmast', 'sorry', 'hap', 'pleas', 'send', 'us', 'dm', 'mak', 'right']",15.0,2018.0,1,0,0,-0.07833626803899968
6,6,@ItsTrido True,15,0,1,2489073,0,0,0.35,0.65,0.4215,0.0,1.0,"['itstrido', 'tru']",15.0,2018.0,1,0,0,-0.1033152973073592
7,7,@multixverse 😎,15,0,0,2489073,0,0,0.0,0.0,0.0,0.0,1.0,['multixvers'],15.0,2018.0,1,0,0,-0.18168347190334122
8,8,@Ja_boi Baconator no bun. Low carb high protein big gainz.,15,1,3,2489073,0,0,0.05333333333333334,0.3133333333333333,-0.5106,0.0,1.0,"['jabo', 'bacon', 'bun', 'low', 'carb', 'high', 'protein', 'big', 'gainz']",15.0,2018.0,1,0,0,-0.09100353606459125
9,9,@Corey_Sedwick We're shocked to see this! Please DM us we'd like to get this addressed immediately.,15,0,1,2489073,0,0,-0.875,0.8,0.4796,0.0,1.0,"['coreysedwick', 'shock', 'see', 'pleas', 'dm', 'us', 'wed', 'lik', 'get', 'address', 'immedy']",15.0,2018.0,1,0,0,-0.07359005722208417
10,10,@ImTheRealQuint This doesn't look like the quality we want going to our customers. Please DM us we'd like to further assist you.,15,0,0,2489073,0,0,0.0,0.5,-0.1581,0.0,1.0,"['imtherealquint', 'doesnt', 'look', 'lik', 'qual', 'want', 'going', 'custom', 'pleas', 'dm', 'us', 'wed', 'lik', 'assist']",15.0,2018.0,1,0,0,-0.1381120232012906
11,11,@Beyoncemyroc You're going to make a bad lunch decision because we missed a tweet about eating prehistoric bison meat? Sorry about that.,15,1,7,2489073,0,0,-0.5999999999999999,0.8333333333333333,-0.7184,0.0,1.0,"['beyoncemyroc', 'yo', 'going', 'mak', 'bad', 'lunch', 'decid', 'miss', 'tweet', 'eat', 'preh', 'bison', 'meat', 'sorry']",15.0,2018.0,1,0,0,-0.09961577462547122
12,12,@morgan_traband7 A real OG,15,0,1,2489073,0,0,0.2,0.30000000000000004,0.0,0.0,1.0,"['morgantraband', 'real', 'og']",15.0,2018.0,1,0,0,-0.001230978001530228
13,13,@bergersteen That’s a super point,15,0,1,2489073,0,0,0.3333333333333333,0.6666666666666666,0.5994,0.0,1.0,"['bergersteen', 'that', 'sup', 'point']",15.0,2018.0,1,0,0,-0.06240946641582036
14,14,@Billieb0b1 It’s a really low percentage compared to overall customers but we are also disappointed by bad experie… https://t.co/Udo8NNOzZD,15,0,0,2489073,0,0,-0.3624999999999999,0.4291666666666667,-0.8909,0.0,1.0,"['billieb', 'real', 'low', 'perc', 'comp', 'overal', 'custom', 'also', 'disappoint', 'bad', 'expery', 'httpstcoudonnozzd']",15.0,2018.0,1,0,1,-0.09693307965849973
15,15,@DragonMaster145 What tweet did we miss? Sorry we are tweeted at quite a bit.,15,0,0,2489073,0,0,-0.5,1.0,-0.2263,0.0,1.0,"['dragonmast', 'tweet', 'miss', 'sorry', 'tweet', 'quit', 'bit']",15.0,2018.0,1,0,0,-0.09541234096939974
16,16,@Billieb0b1 We tweet for fun and handle customer service issues. Not really a bad thing.,15,0,0,2489073,0,0,0.325,0.43333333333333335,-0.1263,0.0,1.0,"['billieb', 'tweet', 'fun', 'handl', 'custom', 'serv', 'issu', 'real', 'bad', 'thing']",15.0,2018.0,1,0,0,-0.12542897329971964
17,17,@jonjon_jan Makes sense. We've had a decent number of those,14,0,0,2489073,0,0,0.16666666666666666,0.6666666666666666,0.0772,0.0,1.0,"['jonjond', 'mak', 'sens', 'wev', 'dec', 'numb']",15.0,2018.0,1,0,0,-0.0715609886866529
18,18,@oneunderscore__ At least they have hilarious wall art.,13,0,5,2489073,0,0,0.1,0.7,0.4019,0.0,1.0,"['oneundersc', 'least', 'hil', 'wal', 'art']",15.0,2018.0,1,0,0,-0.11571336000598748
19,19,@oneunderscore__ This is amazing. We have no idea where it originated.,13,0,5,2489073,0,0,0.6000000000000001,0.9,0.3818,0.0,1.0,"['oneundersc', 'amaz', 'ide', 'origin']",15.0,2018.0,1,0,0,-0.12571525434857317
20,20,@burley_matthew We have two in Sunbury was this off of 71?,13,0,0,2489073,0,0,0.0,0.0,0.0,0.0,1.0,"['burleymatthew', 'two', 'sunbury']",15.0,2018.0,1,0,0,-0.1066335892933129
